grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida*, manhattan, 15puzzle_korf.txt, "7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14", 53, 41, 17385211, 1.88933, 9.20177e+06
X, ida, manhattan, 15puzzle_korf.txt, "14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3", na, na, na, na, na
X, ida*, manhattan, 15puzzle_korf.txt, "13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6", 57, 43, 54487889, 9.05013, 6.02068e+06
X, ida*, manhattan, 15puzzle_korf.txt, "14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15", 59, 41, 611760450, 92.4595, 6.61652e+06
X, ida*, manhattan, 15puzzle_korf.txt, "5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6", 58, 42, 342996458, 39.7188, 8.63563e+06
X, ida*, manhattan, 15puzzle_korf.txt, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B", 58, 42, 27767921, 3.87736, 7.16155e+06
X, ida*, manhattan, 15puzzle_korf.txt, "14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13", 54, 36, 96772557, 14.9619, 6.46793e+06
X, ida*, manhattan, 15puzzle_korf.txt, "2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B", 52, 30, 165219411, 27.634, 5.97884e+06
X, ida*, manhattan, 15puzzle_korf.txt, "12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7", 52, 32, 110026888, 18.4715, 5.95659e+06
X, ida*, manhattan, 15puzzle_korf.txt, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B", 46, 32, 1114267, 0.186767, 5.96608e+06
X, ida*, manhattan, 15puzzle_korf.txt, "13 11 8 9 B 15 7 10 4 3 6 14 5 12 2 1", 59, 43, 112601763, 15.2883, 7.36522e+06
X, ida*, manhattan, 15puzzle_korf.txt, "5 9 13 14 6 3 7 12 10 8 4 B 15 2 11 1", 59, 43, 120711712, 13.7532, 8.777e+06
X, ida*, manhattan, 15puzzle_korf.txt, "14 1 9 6 4 8 12 5 7 2 3 B 10 11 13 15", 47, 35, 1293871, 0.143868, 8.99346e+06
X, ida*, manhattan, 15puzzle_korf.txt, "3 6 5 2 10 B 15 14 1 4 13 12 9 8 11 7", 48, 36, 8579248, 0.97951, 8.75871e+06
X, ida, manhattan, 15puzzle_korf.txt, "7 6 8 1 11 5 14 10 3 4 9 13 15 2 B 12", na, na, na, na, na
X, ida*, manhattan, 15puzzle_korf.txt, "13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 B", 62, 44, 237284669, 37.0464, 6.40507e+06
X, ida*, manhattan, 15puzzle_korf.txt, "1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 B", 42, 24, 2476791, 0.278525, 8.89253e+06
X, ida*, manhattan, 15puzzle_korf.txt, "15 14 B 4 11 1 6 13 7 5 8 9 3 2 10 12", 66, 46, 376330216, 59.7193, 6.30165e+06
X, ida*, manhattan, 15puzzle_korf.txt, "6 B 14 12 1 15 9 10 11 4 7 2 8 3 5 13", 59, 43, 290019768, 48.8112, 5.94166e+06
X, ida*, manhattan, 15puzzle_korf.txt, "7 11 8 3 14 B 6 15 1 4 13 9 5 12 2 10", 46, 36, 959010, 0.160998, 5.95666e+06
X, ida*, manhattan, 15puzzle_korf.txt, "6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 B", 52, 36, 9488895, 1.59129, 5.96302e+06
X, ida*, manhattan, 15puzzle_korf.txt, "12 8 14 6 11 4 7 B 5 1 10 15 3 13 9 2", 56, 34, 276474434, 46.5788, 5.93563e+06
X, ida*, manhattan, 15puzzle_korf.txt, "14 3 9 1 15 8 4 5 11 7 10 13 B 2 12 6", 61, 41, 417526193, 70.0262, 5.96243e+06
X, ida*, manhattan, 15puzzle_korf.txt, "10 9 3 11 B 13 2 14 5 6 4 7 8 15 1 12", 49, 33, 11430269, 1.79658, 6.36224e+06
X, ida*, manhattan, 15puzzle_korf.txt, "7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 B", 54, 34, 40273565, 6.62613, 6.07799e+06
X, ida*, manhattan, 15puzzle_korf.txt, "11 4 2 7 1 B 10 15 6 9 14 8 3 13 5 12", 52, 32, 42840776, 7.15238, 5.98973e+06
X, ida*, manhattan, 15puzzle_korf.txt, "5 7 3 12 15 13 14 8 B 10 9 6 1 4 2 11", 58, 40, 123057231, 20.5227, 5.99615e+06
X, ida*, manhattan, 15puzzle_korf.txt, "14 1 8 15 2 6 B 3 9 12 10 13 4 7 5 11", 53, 33, 139606654, 23.4584, 5.95123e+06
X, ida*, manhattan, 15puzzle_korf.txt, "13 14 6 12 4 5 1 B 9 3 10 2 15 11 8 7", 52, 36, 4315074, 0.727398, 5.9322e+06
X, ida*, manhattan, 15puzzle_korf.txt, "9 8 B 2 15 1 4 14 3 10 7 5 11 13 6 12", 54, 38, 112247206, 14.1629, 7.92545e+06
X, ida*, manhattan, 15puzzle_korf.txt, "12 15 2 6 1 14 4 8 5 3 7 B 10 13 9 11", 51, 35, 54108653, 6.15405, 8.79237e+06
X, ida*, manhattan, 15puzzle_korf.txt, "12 8 15 13 1 B 5 4 6 3 2 11 9 7 14 10", 52, 38, 12024244, 1.49694, 8.03256e+06
X, ida*, manhattan, 15puzzle_korf.txt, "14 10 9 4 13 6 5 8 2 12 7 B 1 3 11 15", 59, 43, 519548969, 85.3749, 6.0855e+06
X, ida*, manhattan, 15puzzle_korf.txt, "14 3 5 15 11 6 13 9 B 10 2 12 4 1 7 8", 62, 42, 719121491, 107.076, 6.71601e+06
X, ida*, manhattan, 15puzzle_korf.txt, "6 11 7 8 13 2 5 4 1 10 3 9 14 B 12 15", 52, 36, 13358933, 1.46349, 9.12813e+06
